ISO,Country or Area,ANC4_15_19_yrs(%),CPMODHS_15_19_yrs(%),ORS_15_19_yrs(%)
AFG,Afghanistan,16.16052,5.96713,38.37225
AGO,Angola,56.022000000000006,7.598630000000001,38.30452
ALB,Albania,69.48415,12.89609,
ARM,Armenia,93.21395,21.855649999999997,
AZE,Azerbaijan,34.57243,3.03945,
BDI,Burundi,32.3636,21.22826,30.03266
BEN,Benin,57.986760000000004,4.22516,39.20768
BFA,Burkina Faso,31.993339999999996,6.16955,26.4942
BGD,Bangladesh,32.41478,46.74079,72.33476
BOL,Bolivia,69.22243,26.55486,28.27076
BRA,Brazil,75.34401,47.17056,57.33195
CAF,CAR,41.15629,1.51483,18.6125
CIV,Cote dIvoire,39.65555,6.86716,11.050559999999999
CMR,Cameroon,55.33956,12.23916,18.22241
COD,Congo Democratic Republic,49.89312,5.44869,34.583209999999994
COG,Congo Brazzaville,75.87832,26.34879,30.35543
COL,Colombia,85.75635,60.460190000000004,50.770689999999995
COM,Comoros,37.525389999999994,13.45875,30.69419
DOM,Dominican Republic,94.23562,51.70661,37.999860000000005
EGY,Egypt,87.1154,18.88494,26.286969999999997
ETH,Ethiopia,15.220210000000002,31.834770000000002,25.18551
GAB,Gabon,76.47734,15.558739999999998,18.85968
GHA,Ghana,80.57997,16.68087,59.200660000000006
GIN,Guinea,55.810269999999996,2.5509500000000003,30.579469999999997
GMB,Gambia,73.69305,2.19927,45.5456
GTM,Guatemala,84.33547999999999,31.26946,48.760999999999996
GUY,Guyana,74.75498999999999,29.75922,70.41938
HND,Honduras,86.78166,49.400929999999995,55.607910000000004
HTI,Haiti,56.30099,23.99999,37.52328
IDN,Indonesia,83.19192,47.64165,30.968030000000002
IND,India,53.21226,9.95617,44.24169
JOR,Jordan,92.528,21.81958,44.95409
KAZ,Kazakhstan,66.31718,15.98029,
KEN,Kenya,49.0294,36.84443,54.199580000000005
KGZ,Kyrgyzstan,86.2953,5.1509,
KHM,Cambodia,71.46459,20.15528,25.701400000000003
LBR,Liberia,77.81325,13.204289999999999,58.25431
LSO,Lesotho,70.63977,35.27384,51.153360000000006
MAR,Morocco,29.711539999999996,35.85719,
MDA,Moldova,89.66702,33.863080000000004,
MDG,Madagascar,46.99635,16.45465,16.369149999999998
MDV,Maldives,83.00138,9.58714,
MLI,Mali,39.0995,6.50091,44.01625
MMR,Myanmar,46.31538,53.16281000000001,
MOZ,Mozambique,50.52224,5.82771,59.160599999999995
MWI,Malawi,45.69273,37.491350000000004,54.63765000000001
NAM,Namibia,58.140119999999996,32.18353,69.07119
NER,Niger,31.88183,5.91653,42.540670000000006
NGA,Nigeria,37.57134,1.15175,29.74029
NIC,Nicaragua,69.35894,52.99007999999999,52.04659
NPL,Nepal,53.711059999999996,14.479049999999999,30.12066
PAK,Pakistan,31.472879999999996,6.88952,41.85376
PER,Peru,89.48629,50.60194,22.52669
PHL,Philippines,84.48281,20.64752,54.29625
RWA,Rwanda,38.728649999999995,32.81895,11.52734
SEN,Senegal,42.7712,5.50955,10.95308
SLE,Sierra Leone,77.62457,7.75761,81.81805
STP,Sao Tome and Principe,74.52686,21.412,
SWZ,Swaziland,75.7839,42.784040000000005,80.00956000000001
TCD,Chad,33.44092,2.2544399999999998,21.08193
TGO,Togo,51.21925,7.658239999999999,13.70415
TJK,Tajikistan,61.313930000000006,1.8147,
TLS,Timor Leste,53.18626,8.13307,73.89797999999999
TUR,Turkey,56.201449999999994,16.8796,15.239749999999999
TZA,Tanzania,47.532990000000005,13.313559999999999,58.1889
UGA,Uganda,50.755570000000006,20.6505,38.16926
UKR,Ukraine,70.16261,42.65834,
UZB,Uzbekistan,79.77813,14.99745,
VNM,Vietnam,26.5644,14.143510000000001,
YEM,Yemen,29.392810000000004,12.08057,24.60497
ZAF,South Africa,69.81004,48.23456,48.93442
ZMB,Zambia,51.86734,35.79352,70.60862
ZWE,Zimbabwe,72.70504,44.92647,38.77383
