Outcome,Indicator,Mean_Abs_SHAP
Stunting (%),Income Group,2.7043505
Stunting (%),Pneumonia Care Seeking (%),1.8452893
Stunting (%),Basic Sanitation,1.5276539
Stunting (%),Exclusive Breastfeeding (%),1.4731324
Stunting (%),Low Birthweight (%),1.3820225
Stunting (%),Marriage Gender Gap (F-M),1.3187795
Stunting (%),Basic Hygiene,0.82673514
Stunting (%),Female Child Marriage by 15 (%),0.75601643
Stunting (%),Female Literacy,0.741186
Stunting (%),Basic Water,0.61337864
Stunting (%),Antenatal Care (4+ visits),0.418575
Stunting (%),Diarrhoea Treatment (%),0.34749183
Stunting (%),Female Primary Completion,0.26110125
Stunting (%),Female Child Marriage by 18 (%),0.14125831
Stunting (%),Modern Contraceptives,0.07603227
Wasting (%),Low Birthweight (%),1.1401767
Wasting (%),Income Group,0.5440272
Wasting (%),Pneumonia Care Seeking (%),0.5305771
Wasting (%),Diarrhoea Treatment (%),0.5242936
Wasting (%),Marriage Gender Gap (F-M),0.39564505
Wasting (%),Basic Water,0.36391652
Wasting (%),Modern Contraceptives,0.33746946
Wasting (%),Female Primary Completion,0.3198059
Wasting (%),Basic Hygiene,0.28162584
Wasting (%),Basic Sanitation,0.27657747
Wasting (%),Female Child Marriage by 15 (%),0.20256913
Wasting (%),Exclusive Breastfeeding (%),0.18435432
Wasting (%),Female Literacy,0.18055096
Wasting (%),Female Child Marriage by 18 (%),0.16015312
Wasting (%),Antenatal Care (4+ visits),0.1335418
Overweight (%),Female Primary Completion,0.6746814
Overweight (%),Low Birthweight (%),0.67387056
Overweight (%),Pneumonia Care Seeking (%),0.4611261
Overweight (%),Exclusive Breastfeeding (%),0.43887755
Overweight (%),Basic Sanitation,0.41924182
Overweight (%),Marriage Gender Gap (F-M),0.3459219
Overweight (%),Antenatal Care (4+ visits),0.31362462
Overweight (%),Diarrhoea Treatment (%),0.22902453
Overweight (%),Female Literacy,0.18539385
Overweight (%),Income Group,0.18291013
Overweight (%),Female Child Marriage by 15 (%),0.17978738
Overweight (%),Female Child Marriage by 18 (%),0.109625846
Overweight (%),Basic Water,0.066386804
Overweight (%),Basic Hygiene,0.04212843
Overweight (%),Modern Contraceptives,0.018448438
